iter	Passed	Remaining
0	0	887
1	1	835
2	2	791
3	3	756
4	3	727
5	4	754
6	5	752
7	6	751
8	6	749
9	7	756
10	8	753
11	9	751
12	9	747
13	10	748
14	11	752
15	12	753
16	13	751
17	13	746
18	14	740
19	15	741
20	15	744
21	16	744
22	17	741
23	18	752
24	19	753
25	20	754
26	20	751
27	21	748
28	22	744
29	23	749
30	23	747
31	24	746
32	25	746
33	26	745
34	27	744
35	27	741
36	28	737
37	28	733
38	29	730
39	30	726
40	30	724
41	31	718
42	32	719
43	33	717
44	33	717
45	34	717
46	35	717
47	36	717
48	37	720
49	37	716
50	38	715
51	39	713
52	39	710
53	40	707
54	41	704
55	41	701
56	42	699
57	42	697
58	43	695
59	44	692
60	44	691
61	45	693
62	46	695
63	47	699
64	48	703
65	49	704
66	50	706
67	51	707
68	52	707
69	53	706
70	54	707
71	54	707
72	55	706
73	56	706
74	57	708
75	58	706
76	59	708
77	60	709
78	60	708
79	61	708
80	62	706
81	62	704
82	63	702
83	64	699
84	64	697
85	65	694
86	65	691
87	66	689
88	67	686
89	67	684
90	68	682
91	68	679
92	69	677
93	70	676
94	70	675
95	71	673
96	72	673
97	73	675
98	74	676
99	75	676
100	75	676
101	76	674
102	77	673
103	78	672
104	78	671
105	79	669
106	80	668
107	80	667
108	81	665
109	82	663
110	82	661
111	83	659
112	83	657
113	84	656
114	85	655
115	85	655
116	86	655
117	87	656
118	88	656
119	89	655
120	89	653
121	90	650
122	91	649
123	91	647
124	92	646
125	92	644
126	93	642
127	94	640
128	94	638
129	95	637
130	95	635
131	96	633
132	96	631
133	97	630
134	98	628
135	98	627
136	99	625
137	100	626
138	101	626
139	101	625
140	102	625
141	103	624
142	104	623
143	104	622
144	105	621
145	106	620
146	106	618
147	107	617
148	107	616
149	108	614
150	109	613
151	109	612
152	110	610
153	110	609
154	111	608
155	112	607
156	112	605
157	113	606
158	114	606
159	115	606
160	116	606
161	117	605
162	117	603
163	118	602
164	118	601
165	119	599
166	119	598
167	120	597
168	121	595
169	121	594
170	122	592
171	122	591
172	123	590
173	124	588
174	124	587
175	125	585
176	125	584
177	126	583
178	127	582
179	128	583
180	129	583
181	129	583
182	130	582
183	131	581
184	131	580
185	132	579
186	132	578
187	133	576
188	134	575
189	134	574
190	135	572
191	135	571
192	136	570
193	136	569
194	137	567
195	138	566
196	138	565
197	139	564
198	139	563
199	140	562
200	141	562
201	142	562
202	143	562
203	143	561
204	144	560
205	145	559
206	145	559
207	146	559
208	147	559
209	148	558
210	149	557
211	149	556
212	150	555
213	150	554
214	151	553
215	152	552
216	152	551
217	153	550
218	154	549
219	155	549
220	155	548
221	156	548
222	157	547
223	157	546
224	158	545
225	159	545
226	160	544
227	160	543
228	161	542
229	161	542
230	162	541
231	163	540
232	163	539
233	164	538
234	165	537
235	165	537
236	166	536
237	167	536
238	168	536
239	169	536
240	170	536
241	171	536
242	172	535
243	172	535
244	173	534
245	174	534
246	174	533
247	175	532
248	176	530
249	176	529
250	177	528
251	177	527
252	178	526
253	178	525
254	179	524
255	180	523
256	180	523
257	181	523
258	182	523
259	183	523
260	184	522
261	185	522
262	186	521
263	186	520
264	187	519
265	188	519
266	188	518
267	189	517
268	189	516
269	190	514
270	191	513
271	191	512
272	192	512
273	192	511
274	193	510
275	194	509
276	194	508
277	196	509
278	196	508
279	197	507
280	198	507
281	198	506
282	199	505
283	200	504
284	200	503
285	201	502
286	202	501
287	202	500
288	203	499
289	203	498
290	204	497
291	204	496
292	205	495
293	206	494
294	206	493
295	207	492
296	207	492
297	208	491
298	209	491
299	210	491
300	211	491
301	212	490
302	212	489
303	213	489
304	214	488
305	214	487
306	215	486
307	215	485
308	216	484
309	217	483
310	218	483
311	218	482
312	219	481
313	219	480
314	220	479
315	221	478
316	221	477
317	222	477
318	223	477
319	224	476
320	225	476
321	226	475
322	226	475
323	227	474
324	227	473
325	228	472
326	229	471
327	229	470
328	230	469
329	230	468
330	231	467
331	232	466
332	232	465
333	233	465
334	233	464
335	234	463
336	235	462
337	235	462
338	237	462
339	237	461
340	238	461
341	239	460
342	240	460
343	240	459
344	241	458
345	242	457
346	242	456
347	243	456
348	244	455
349	244	454
350	245	453
351	246	452
352	246	452
353	247	451
354	248	451
355	249	450
356	250	450
357	250	449
358	251	449
359	252	448
360	253	448
361	253	447
362	254	446
363	255	445
364	255	444
365	256	444
366	256	443
367	257	442
368	258	441
369	258	440
370	259	439
371	259	438
372	260	438
373	261	437
374	261	436
375	262	435
376	263	434
377	264	434
378	264	433
379	265	433
380	266	432
381	267	432
382	267	431
383	268	430
384	269	429
385	269	429
386	270	428
387	271	427
388	271	426
389	272	425
390	272	425
391	273	424
392	274	423
393	274	422
394	275	421
395	275	420
396	276	420
397	277	419
398	278	419
399	279	418
400	279	418
401	280	417
402	281	416
403	282	416
404	282	415
405	283	414
406	284	413
407	284	413
408	285	412
409	285	411
410	286	410
411	287	409
412	287	408
413	288	408
414	288	407
415	289	406
416	290	405
417	290	404
418	291	404
419	292	404
420	293	403
421	294	402
422	294	402
423	295	401
424	296	400
425	296	400
426	297	399
427	298	398
428	298	397
429	299	396
430	300	396
431	301	395
432	301	395
433	302	394
434	303	393
435	303	392
436	304	391
437	305	391
438	305	390
439	306	389
440	306	389
441	307	388
442	308	387
443	308	386
444	309	385
445	309	384
446	310	384
447	311	383
448	311	382
449	312	381
450	312	380
451	313	379
452	314	379
453	314	378
454	315	377
455	315	376
456	316	376
457	317	375
458	317	374
459	318	373
460	319	373
461	320	372
462	320	372
463	321	371
464	322	370
465	323	370
466	323	369
467	324	368
468	324	367
469	325	366
470	325	366
471	326	365
472	327	364
473	327	363
474	328	362
475	328	361
476	329	361
477	329	360
478	330	359
479	331	358
480	331	357
481	332	357
482	333	356
483	333	355
484	334	355
485	335	354
486	335	353
487	336	353
488	337	352
489	338	351
490	338	350
491	339	350
492	339	349
493	340	348
494	340	347
495	341	346
496	341	346
497	342	345
498	343	344
499	343	343
500	344	342
501	344	341
502	345	341
503	345	340
504	346	339
505	347	339
506	348	338
507	348	337
508	349	337
509	349	336
510	350	335
511	351	334
512	351	333
513	352	333
514	352	332
515	353	331
516	354	330
517	354	329
518	355	329
519	355	328
520	356	327
521	356	326
522	357	325
523	357	325
524	358	324
525	359	323
526	359	323
527	360	322
528	361	321
529	362	321
530	363	320
531	363	319
532	364	319
533	364	318
534	365	317
535	365	316
536	366	316
537	367	315
538	367	314
539	368	313
540	368	312
541	369	312
542	369	311
543	370	310
544	370	309
545	371	308
546	372	308
547	372	307
548	373	307
549	374	306
550	375	306
551	376	305
552	377	304
553	377	304
554	378	303
555	378	302
556	379	301
557	380	301
558	380	300
559	381	299
560	381	298
561	382	297
562	383	297
563	383	296
564	384	295
565	385	295
566	385	294
567	386	294
568	387	293
569	388	293
570	389	293
571	391	292
572	391	291
573	392	291
574	393	290
575	394	290
576	395	289
577	395	289
578	396	288
579	397	287
580	398	287
581	399	286
582	399	285
583	400	285
584	401	284
585	402	284
586	403	284
587	404	283
588	405	282
589	405	282
590	406	281
591	407	280
592	408	280
593	408	279
594	409	278
595	410	277
596	410	277
597	411	276
598	412	275
599	412	275
600	413	274
601	413	273
602	414	273
603	415	272
604	417	272
605	417	271
606	418	271
607	419	270
608	420	269
609	420	269
610	421	268
611	422	267
612	423	267
613	423	266
614	424	265
615	425	265
616	425	264
617	426	263
618	427	262
619	427	262
620	428	261
621	429	261
622	430	260
623	431	259
624	432	259
625	432	258
626	433	257
627	434	257
628	435	256
629	435	255
630	436	255
631	437	254
632	437	253
633	438	253
634	439	252
635	439	251
636	440	250
637	441	250
638	441	249
639	442	248
640	443	248
641	444	248
642	445	247
643	446	246
644	447	246
645	448	245
646	448	244
647	449	244
648	450	243
649	451	242
650	451	242
651	452	241
652	452	240
653	453	239
654	454	239
655	454	238
656	455	238
657	457	237
658	458	237
659	459	236
660	460	236
661	460	235
662	461	234
663	462	233
664	462	233
665	463	232
666	464	231
667	464	231
668	465	230
669	466	229
670	466	228
671	467	228
672	468	227
673	468	226
674	469	226
675	470	225
676	471	224
677	472	224
678	473	223
679	473	222
680	474	222
681	475	221
682	476	220
683	476	220
684	477	219
685	478	219
686	479	218
687	479	217
688	480	216
689	481	216
690	482	215
691	483	215
692	484	214
693	485	213
694	486	213
695	487	212
696	487	212
697	489	211
698	489	210
699	490	210
700	491	209
701	491	208
702	492	208
703	493	207
704	493	206
705	494	205
706	495	205
707	495	204
708	496	203
709	497	203
710	498	202
711	499	201
712	500	201
713	500	200
714	501	200
715	502	199
716	503	198
717	504	198
718	505	197
719	505	196
720	506	195
721	507	195
722	507	194
723	508	193
724	509	193
725	510	192
726	510	191
727	511	191
728	512	190
729	513	189
730	514	189
731	515	188
732	515	187
733	516	187
734	517	186
735	517	185
736	518	185
737	519	184
738	519	183
739	520	182
740	521	182
741	521	181
742	522	180
743	523	180
744	523	179
745	524	178
746	525	178
747	526	177
748	527	176
749	528	176
750	529	175
751	530	174
752	531	174
753	531	173
754	532	172
755	533	172
756	533	171
757	534	170
758	534	169
759	535	169
760	536	168
761	536	167
762	537	167
763	538	166
764	539	165
765	540	165
766	541	164
767	542	163
768	542	163
769	543	162
770	544	161
771	545	160
772	545	160
773	546	159
774	546	158
775	547	158
776	548	157
777	548	156
778	549	155
779	550	155
780	550	154
781	551	153
782	552	153
783	553	152
784	554	151
785	555	151
786	556	150
787	557	149
788	558	149
789	558	148
790	559	147
791	559	147
792	560	146
793	561	145
794	562	144
795	562	144
796	563	143
797	563	142
798	564	142
799	565	141
800	565	140
801	566	139
802	567	139
803	567	138
804	568	137
805	569	136
806	569	136
807	570	135
808	571	134
809	571	134
810	572	133
811	572	132
812	573	131
813	574	131
814	574	130
815	575	129
816	576	129
817	576	128
818	577	127
819	578	126
820	578	126
821	579	125
822	580	124
823	580	124
824	581	123
825	581	122
826	582	121
827	583	121
828	583	120
829	584	119
830	585	119
831	585	118
832	586	117
833	587	116
834	587	116
835	588	115
836	589	114
837	589	114
838	590	113
839	591	112
840	591	111
841	592	111
842	593	110
843	593	109
844	594	109
845	595	108
846	595	107
847	596	106
848	597	106
849	597	105
850	598	104
851	598	104
852	599	103
853	600	102
854	600	101
855	601	101
856	602	100
857	602	99
858	603	99
859	603	98
860	604	97
861	605	96
862	605	96
863	606	95
864	607	94
865	607	94
866	608	93
867	609	92
868	610	91
869	610	91
870	611	90
871	612	89
872	612	89
873	613	88
874	613	87
875	614	87
876	615	86
877	615	85
878	616	84
879	617	84
880	617	83
881	618	82
882	619	82
883	619	81
884	620	80
885	620	79
886	621	79
887	622	78
888	623	77
889	623	77
890	624	76
891	625	75
892	625	74
893	626	74
894	627	73
895	627	72
896	628	72
897	629	71
898	629	70
899	630	70
900	630	69
901	631	68
902	631	67
903	632	67
904	632	66
905	633	65
906	634	65
907	634	64
908	635	63
909	636	62
910	636	62
911	637	61
912	637	60
913	638	60
914	638	59
915	639	58
916	640	57
917	640	57
918	641	56
919	641	55
920	642	55
921	643	54
922	643	53
923	644	53
924	645	52
925	646	51
926	646	50
927	647	50
928	647	49
929	648	48
930	648	48
931	649	47
932	650	46
933	650	45
934	651	45
935	651	44
936	652	43
937	652	43
938	653	42
939	653	41
940	654	41
941	655	40
942	655	39
943	656	38
944	656	38
945	657	37
946	658	36
947	658	36
948	659	35
949	660	34
950	660	34
951	661	33
952	661	32
953	662	31
954	662	31
955	663	30
956	663	29
957	664	29
958	665	28
959	665	27
960	666	27
961	666	26
962	667	25
963	667	24
964	668	24
965	668	23
966	669	22
967	670	22
968	670	21
969	671	20
970	671	20
971	672	19
972	673	18
973	673	17
974	674	17
975	674	16
976	675	15
977	676	15
978	676	14
979	677	13
980	677	13
981	678	12
982	678	11
983	679	11
984	680	10
985	680	9
986	681	8
987	681	8
988	682	7
989	683	6
990	683	6
991	684	5
992	684	4
993	685	4
994	685	3
995	686	2
996	687	2
997	687	1
998	688	0
999	688	0
